Mode,MeanBR_Hz,StdBR_Hz,CountBR,MeanDE_Hz,StdDE_Hz,CountDE
1,15.5450783647649,0.0315441330377379,100,15.1478166649,0.0248196287203428,100
2,44.6841062123173,0.114878304537492,100,43.7786303262,0.104701677666179,100
3,70.6443147369102,0.168788499327127,100,69.6308912431313,0.250398148980947,99
4,87.2045286366993,0.22824137891068,100,85.33519911,0.35207616495657,96
